Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
JISLJALEQS,EQ,58,1.65,3896.58,127.81,75.25
360ONE,EQ,1020.3,1.97,40168.99,7.3,74.61
PRESTIGE,EQ,1440,0.47,62025.15,5.18,74.38
SHK,EQ,227.8,12.97,3153.23,33.43,74.36
SKIPPER,EQ,506.9,7.35,5719.02,14.78,73.64
KIMS,EQ,643,0.42,25728.93,11.61,73.47
EPL,EQ,238.8,1.78,7632.66,30.53,73.39
PRECWIRE,EQ,181,9.15,3233.71,40.31,73.07
POCL,EQ,860,1.62,2418.72,8.3,72.81
PEL,EQ,1117.7,1.17,25335.77,6.42,72.41
BLSE,EQ,203.98,13.69,1853.29,35.34,72.19
EASEMYTRIP,EQ,12.02,0.84,4259.99,596.28,71.73
KIRIINDUS,EQ,664.05,2.63,3694.04,10.9,71.63
MGL,EQ,1407.8,1.18,13905.94,5.03,71.34
BANKBEES,EQ,568.38,0.14,7674.79,12.45,70.91
ACC,EQ,1929,0.03,36224.16,3.65,70.7
