Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
NIDAN,SM,20,-2.44,27.8,0.02,0
LOYALTEX,BE,281,-1.58,135.34,0,0
FLFL,BZ,1.7,-5.03,34.3,0.22,0
79NHIT47,N3,413,-0.82,619.5,0,0
935LTF29,N5,1069,-0.66,118.57,0,0
971SCL29A,ZN,963,-0.21,15.24,0,0
948SCL27R,N1,955.05,-3.53,14.15,0,0
COMPINFO,BZ,1.75,-2.78,15.01,0.15,0
675GS2029,GS,104.91,-0.09,59798.7,0,0
BLUECHIP,BE,5.8,-2.03,32.08,0.03,0
ABGSEC,EQ,110.17,-0.21,46.04,0,0
ALPSINDUS,BE,2.45,-0.81,9.58,0.07,0
MORARJEE,BZ,6.16,-5.08,22.38,0.03,0
81TCHF28,N8,1013.75,-0.08,38.8,0,0
0MOFSL26,N1,1079,-0.64,27,0,0
MON50EQUAL,EQ,31.22,-0.16,5.49,0,0
891NTPC33,N6,1267,-0.01,506.76,0,0
CIFC28,NB,1101,-1.7,10.63,0,0
1025SCL34,Z8,965,-1.53,13.92,0,0
IIFL210425,NW,979.9,-0.01,14.09,0,0
182D161025,TB,97.25,-0.29,4862.5,0,0
965SCL25C,N0,600.3,-5.89,10.96,0,0
QUINTEGRA,BE,1.45,-3.33,3.89,0.06,0
965SCL26Y,N1,990,-0.5,10.92,0,0
IMC1,N2,256,-1.88,62.46,0,0
GLFL,BE,4.31,-4.01,11.69,0.01,0
IMC1,N0,250.02,-3.4,61,0,0
74GS2062,GS,107.26,-0.69,167325.6,0,0
892PFCL33,N8,1274,-0.94,0,0,0
875PCHFL26,N8,1062,-0.65,85.88,0,0
699GS2051,GS,104.25,-1.18,152752.31,0,0
727GS2026,GS,102.21,-2,49074.95,0,0
574GS2026,GS,99.25,-0.75,80392.5,0,0
